index,Model,Processor,Display,OS,Memory,Graphics Processor,Weight,Dimension,Price
1,MSI Titan GT77-12UHS,12th Gen Intel Core i9-12900HX 16 core processor,"17.3″ (3840 x 2160) screen, 120 Hz refresh rate",Windows 11 Home,64 GB DDR5 RAM & 2 TB SSD,16 GB DDR6 NVIDIA GeForce RTX 3080 Ti Graphics card, 3.3 kg ,397 x 330 x 23 mm  ,-
2,Alienware X17 R2,12th Gen Intel Core i9-12900H 14 core processor with 5 GHz clock speed,"17.3″ (1920 x 1080) screen, 360 Hz refresh rate",Windows 11 Home,32 GB DDR5 RAM & 1 TB SSD,16 GB DDR6 NVIDIA GEFORCE RTX 3080 Ti Graphics card, 2.96 kg ,299 x 359 x 21 mm  ,"₹ 389,990"
3,Acer Predator Triton 500 SE PT516-52s,12th Gen Intel Core i7-12700H 14 core processor with 3.5 GHz clock speed,16″ (2560 x 1600) screen,Windows 11,32 GB DDR5 RAM & 2 TB SSD,8 GB DDR6 NVIDIA GeForce RTX 3070 Ti Graphics card, 2.4 kg ,262 x 359 x 20 mm  ,"₹ 229,990"
4,Omen By HP (16-B1371TX),12th Gen Intel Core i7-12700H 14 core processor with 4.7 GHz clock speed,16.1″ (2560 x 1440) screen,Windows 11 Home,8 GB DDR5 RAM & 1 TB SSD,8 GB GDDR6 NVIDIA GeForce RTX 3070 Graphics card, 2.32 kg ,369 x 248 x 23 mm  ,"₹ 176,490"
5,Acer Predator Helios 300 AN515-45,AMD Ryzen 9-5900HX 8 core processor,"15.6″ (2560 x 1440) screen, 165 Hz refresh rate",Windows 11 Home,16 GB DDR4 RAM & 512 GB SSD,8 GB DDR6 NVIDIA GeForce RTX 3070 Graphics card, 2.4 kg ,363 x 255 x 23.9 mm  ,"₹ 172,999"
6,MSI Delta 15 (A5EFK-083IN),AMD 5th Gen Ryzen 9-5900HX 8 core processor with 3.3GHz clock speed,"15.6″ (1920 x 1080) screen, 240Hz refresh rate",Windows 11 Home,16 GB DDR4 RAM & 1 TB SSD,10 GB DDR6 AMD Radeon RX 6700M Graphics card, 1.9 kg ,357 x 247 x 19 mm  ,"₹ 188,990"
7,Omen By HP (16-C0141AX),AMD Ryzen™ 9 5900HX 8 core processor with 3.3 GHz clock speed,16.1″ (2560 x 1440) screen,Windows 11 Home,16 GB DDR4 RAM & 1 TB NVMe,8 GB GDDR6 AMD Radeon™ RX 6600M Graphics card, 2.3 kg ,36.92 x 24.8 x 2.3 mm  ,"₹ 124,990"
8,Lenovo Legion 5i Pro (82RF00MGIN),12th Gen Intel Core i7-12700H 14 core processor with 2.3 GHz clock speed,"16″ (2560 x 1600) screen, 165 Hz refresh rate",Windows 11 Home,16 GB DDR5 RAM & 1 TB SSD,6 GB DDR6 NVIDIA GeForce RTX 3060 Graphics card, 2.49 kg ,360 x 264 x 20 mm  ,"₹ 163,236"
9,Alienware M15 R5 Ryzen Edition Icc-C780001win,AMD Ryzen R7-5800H 8 core processor with 4.40 GHz clock speed,"15.6″ (1920 x 1080) screen, 165Hz refresh rate",Windows 11 Home,16 GB DDR4 RAM & 512 GB SSD,6 GB DDR6 NVIDIA GeForce RTX 3060 Graphics card, 2.69 kg ,356.2 x 272.5 x 22.85 mm  ,"₹ 174,000"
10,Lenovo Slim 7 Gen 6 (82K8002JIN),Lenovo Ryzen 7-5800H processor with 3.2 GHz clock speed,"15.6″ screen, 165 Hz refresh rate",Windows 11 Home,16 GB DDR4 RAM & 1 TB SSD,6 GB DDR6 NVIDIA GeForce 3060 Max-Q Graphics card, 1.9 kg ,356 x 252 x 16 mm  ,"₹ 131,990"
