index,Brand,Product,Price,Return/Exchange,Expected Delivery,Availability,URL
1, Kadence Store,"Kadence Frontier guitar with Online Guitar learning course , Wine Red Acoustic Guitar with Die Cast Keys, Set of Strings, Strap, Picks and Bag (Wine Red, Acoustic)","4,949",7 days Replacement,"Thursday, 15 December",,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo4NzE5NTYxMzU0ODQ4ODU4OjE2NzA5MjE3NDE6c3BfYXRmOjIwMDYxNjIwNjk2MjA0OjowOjo&url=%2FKadence-Frontier-Acoustic-Guitar-Strings%2Fdp%2FB01GDZ46AA%2Fref%3Dsr_1_1_sspa%3Fkeywords%3Dguitar%26qid%3D1670921741%26sr%3D8-1-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1%26smid%3DAM04Z7MH4HSDD
2, Kadence Store,"Kadence Slowhand Premium Jumbo Semi Acoustic Guitar with Heavy Padded Bag, guitar cable, Pro Capo (Black Spruce Wood)","9,900",7 days Replacement,"Saturday, 17 December",,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo4NzE5NTYxMzU0ODQ4ODU4OjE2NzA5MjE3NDE6c3BfYXRmOjIwMDU3MTkzMDU2MjA0OjowOjo&url=%2FKadence-Slowhand-Premium-Acoustic-Instrument%2Fdp%2FB077SZ667X%2Fref%3Dsr_1_2_sspa%3Fkeywords%3Dguitar%26qid%3D1670921741%26sr%3D8-2-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1
3, Intern Store,"INTERN 40 inches Acoustic Guitar with Pick-up & truss rod, carry bag, strings pack, strap & picks. Premium Wooden durable built, tonal stability with professional sound amplificaiton. (Black).","5,190",7 days Replacement,"Thursday, 15 December",In stock.,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo4NzE5NTYxMzU0ODQ4ODU4OjE2NzA5MjE3NDE6c3BfYXRmOjIwMDk4NjQ2MTUzMTk4OjowOjo&url=%2FAcoustic-Pick-up-stability-professional-amplificaiton%2Fdp%2FB09YHCR3R8%2Fref%3Dsr_1_3_sspa%3Fkeywords%3Dguitar%26qid%3D1670921741%26sr%3D8-3-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1
4, Hontral,Hontral S4 String Decor Guitar Children's Musical Instrument Educational Toy Small Guitar for Beginners Kids Child - 23Inch,899,7 days Returnable,"Friday, 16 December",In stock.,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo4NzE5NTYxMzU0ODQ4ODU4OjE2NzA5MjE3NDE6c3BfYXRmOjIwMDc5OTc5NTkyNDk4OjowOjo&url=%2FHontral-Childrens-Instrument-Educational-Beginners%2Fdp%2FB0BD8Y1H78%2Fref%3Dsr_1_4_sspa%3Fkeywords%3Dguitar%26qid%3D1670921741%26sr%3D8-4-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1
5, Intern Store,"Intern INT-38C Right hand Acoustic Guitar Kit, With Bag, Strings, Pick And Strap, Black, small","2,299",7 days Replacement,"Thursday, 15 December",In stock.,https://www.amazon.in/Intern-INT-38C-Acoustic-Guitar-Black/dp/B073B6TQQY/ref=sr_1_5?keywords=guitar&qid=1670921741&sr=8-5
6, JUAREZ Store,"Juârez Acoustic Guitar, 38 Inch Cutaway, 038C with Bag, Strings, Pick and Strap, Black","2,398",7 days Replacement,"Thursday, 15 December",In stock.,https://www.amazon.in/Juarez-Acoustic-Cutaway-038C-Strings/dp/B017NPCSLI/ref=sr_1_6?keywords=guitar&qid=1670921741&sr=8-6
7, Intern Store,Intern INT-38C Acoustic Guitar Kit (Blue),"2,399",7 days Replacement,"Thursday, 15 December",In stock.,https://www.amazon.in/Intern-INT-38C-Acoustic-Guitar-Blue/dp/B073B5RZBV/ref=sr_1_7?keywords=guitar&qid=1670921741&sr=8-7
8, Intern Store,Intern 38C Ebony Wood Cutaway Design Acoustic Guitar with Picks And Carry Bag (Black),"2,099",7 days Replacement,"Thursday, 15 December",In stock.,https://www.amazon.in/Intern-38-inch-Cutaway-Design-Acoustic/dp/B07X4PN85R/ref=sr_1_8?keywords=guitar&qid=1670921741&sr=8-8
9, JUAREZ Store,"Juarez Acoustic Guitar, 38 Inch Curved Body Cutaway, 38CUR with Bag, Strings, Pick and Strap, Black","2,256",7 days Replacement,"Thursday, 15 December",In stock.,https://www.amazon.in/Juarez-Acoustic-Guitar-Cutaway-Strings/dp/B076QHZ4HZ/ref=sr_1_9?keywords=guitar&qid=1670921741&sr=8-9
10, Intern Store,"Intern INT-38C Acoustic Guitar Kit (Sunburst) with Carry bag, Picks, Strings set and Guitar Strap, Small","2,399",7 days Replacement,"Thursday, 15 December",In stock.,https://www.amazon.in/Intern-INT-38C-Acoustic-Guitar-Sunburst/dp/B073B5MJRM/ref=sr_1_10?keywords=guitar&qid=1670921741&sr=8-10
11, Intern Store,Intern Int-38c Sunburst Linden Wood Acoustic Guitar Kit with Carry Bag and Picks,"2,099",7 days Replacement,"Thursday, 15 December",In stock.,https://www.amazon.in/Intern-INT-38C-Sunburst-Acoustic-Guitar/dp/B07X1J4D3Z/ref=sr_1_11?keywords=guitar&qid=1670921741&sr=8-11
12, JUAREZ Store,"Juarez Acoustic Guitar, 38 Inch Cutaway with Pick Guard, 38CPG with Bag, Strings, Pick and Strap, Black","2,637",7 days Replacement,"Thursday, 15 December",In stock.,https://www.amazon.in/Juarez-Acoustic-Guitar-Cutaway-Strings/dp/B075XMRKMY/ref=sr_1_12?keywords=guitar&qid=1670921741&sr=8-12
13, YAMAHA Store,"Yamaha F280 Acoustic Rosewood Guitar (Natural, Beige)","7,340",7 days Replacement,"Friday, 16 December",In stock.,https://www.amazon.in/Yamaha-F280-Acoustic-Guitar-Natural/dp/B08317Y4VP/ref=sr_1_13?keywords=guitar&qid=1670921741&sr=8-13
14, Kadence Store,"Kadence 40 Incheses Frontier Series, wood Acoustic Guitar With/Wihtout EQ Die Cast Keys Combo (Bag,strap,strings And 3 picks) (Black, Acoustic)","4,999",7 days Replacement,"Thursday, 15 December",In stock.,https://www.amazon.in/Kadence-Frontier-Acoustic-Wihtout-strings/dp/B08PK9GZZY/ref=sr_1_14?keywords=guitar&qid=1670921741&sr=8-14
15, Fender,Fender CD 60 Dread V3 DS 6 String Acoustic Guitar - Walnut Fretboard-Black,"12,531",7 days Replacement,"Thursday, 15 December",In stock.,https://www.amazon.in/Fender-Dread-String-Acoustic-Guitar/dp/B07RM4B5LJ/ref=sxin_24?asc_contentid=amzn1.osa.39dd7fbf-afb9-4b33-a89b-5dc1ff018d2f.A21TJRUUN4KGV.en_IN&asc_contenttype=article&ascsubtag=amzn1.osa.39dd7fbf-afb9-4b33-a89b-5dc1ff018d2f.A21TJRUUN4KGV.en_IN&content-id=amzn1.sym.939c6bd1-1a0e-48f0-a138-af961f88b523%3Aamzn1.sym.939c6bd1-1a0e-48f0-a138-af961f88b523&creativeASIN=B07RM4B5LJ&cv_ct_cx=guitar&cv_ct_id=amzn1.osa.39dd7fbf-afb9-4b33-a89b-5dc1ff018d2f.A21TJRUUN4KGV.en_IN&cv_ct_pg=search&cv_ct_we=asin&cv_ct_wn=osp-single-source-pecos-desktop&keywords=guitar&linkCode=oas&pd_rd_i=B07RM4B5LJ&pd_rd_r=8db685a5-11ea-49a0-a348-a83d0ed3a2bc&pd_rd_w=IulM0&pd_rd_wg=MuAqs&pf_rd_p=939c6bd1-1a0e-48f0-a138-af961f88b523&pf_rd_r=S3N2Z6ADZPDTFS24KCBF&qid=1670921741&sr=1-1-c84eb971-91f2-4a4d-acce-811265c24254&tag=sm-content-21
16, YAMAHA Store,"Yamaha FS100C Acoustic Guitar, Natural","9,589",7 days Replacement,"Saturday, 17 December",In stock.,https://www.amazon.in/Yamaha-FS100C-Acoustic-Guitars-Natural/dp/B00QKD79QE/ref=sxin_24?asc_contentid=amzn1.osa.39dd7fbf-afb9-4b33-a89b-5dc1ff018d2f.A21TJRUUN4KGV.en_IN&asc_contenttype=article&ascsubtag=amzn1.osa.39dd7fbf-afb9-4b33-a89b-5dc1ff018d2f.A21TJRUUN4KGV.en_IN&content-id=amzn1.sym.939c6bd1-1a0e-48f0-a138-af961f88b523%3Aamzn1.sym.939c6bd1-1a0e-48f0-a138-af961f88b523&creativeASIN=B00QKD79QE&cv_ct_cx=guitar&cv_ct_id=amzn1.osa.39dd7fbf-afb9-4b33-a89b-5dc1ff018d2f.A21TJRUUN4KGV.en_IN&cv_ct_pg=search&cv_ct_we=asin&cv_ct_wn=osp-single-source-pecos-desktop&keywords=guitar&linkCode=oas&pd_rd_i=B00QKD79QE&pd_rd_r=8db685a5-11ea-49a0-a348-a83d0ed3a2bc&pd_rd_w=IulM0&pd_rd_wg=MuAqs&pf_rd_p=939c6bd1-1a0e-48f0-a138-af961f88b523&pf_rd_r=S3N2Z6ADZPDTFS24KCBF&qid=1670921741&sr=1-2-c84eb971-91f2-4a4d-acce-811265c24254&tag=sm-content-21
