,Brand,Smartphone,Colour,RAM,ROM,Primary_Camera,Secondary_Camera,Display_Size,Battery_Capacity,Price,URL
0,OnePlus,Nord CE 2 Lite 5G,Black Dusk,6 GB RAM , 128 GB ROM,64MP Rear Camera,Not Mention,16.74 cm (6.59 inch),5000 mAh ,"₹19,890",https://www.flipkart.com/oneplus-nord-ce-2-lite-5g-black-dusk-128-gb/p/itm853d95cf27843?pid=MOBGG6SGT5TVGSG6&lid=LSTMOBGG6SGT5TVGSG6IAYVEP&marketplace=FLIPKART&q=Oneplus+Nord&store=tyy%2F4io&srno=s_1_1&otracker=search&otracker1=search&fm=organic&iid=26fee77e-6000-497c-a990-4baa1f2758cb.MOBGG6SGT5TVGSG6.SEARCH&ppt=hp&ppn=homepage&ssid=1a568rkdxc0000001671113915566&qH=53863d4d978d5074
1,OnePlus,Nord CE 2 Lite 5G,Blue Tide,6 GB RAM , 128 GB ROM,64MP Rear Camera,Not Mention,16.74 cm (6.59 inch),5000 mAh ,"₹19,921",https://www.flipkart.com/oneplus-nord-ce-2-lite-5g-blue-tide-128-gb/p/itm7acae55b999e6?pid=MOBGKGRADDHG3PN4&lid=LSTMOBGKGRADDHG3PN4KNC4SX&marketplace=FLIPKART&q=Oneplus+Nord&store=tyy%2F4io&srno=s_1_2&otracker=search&otracker1=search&fm=organic&iid=26fee77e-6000-497c-a990-4baa1f2758cb.MOBGKGRADDHG3PN4.SEARCH&ppt=hp&ppn=homepage&ssid=1a568rkdxc0000001671113915566&qH=53863d4d978d5074
2,OnePlus,Nord CE 2 Lite 5G,Blue Tide,6 GB RAM , 128 GB ROM,64MP Rear Camera , 16MP Front Camera,16.74 cm (6.59 inch),5000 mAh ,"₹19,999",https://www.flipkart.com/oneplus-nord-ce-2-lite-5g-blue-tide-128-gb/p/itm7acae55b999e6?pid=MOBGDWFJFBKYTEGP&lid=LSTMOBGDWFJFBKYTEGPBRGAN3&marketplace=FLIPKART&q=Oneplus+Nord&store=tyy%2F4io&srno=s_1_3&otracker=search&otracker1=search&fm=organic&iid=26fee77e-6000-497c-a990-4baa1f2758cb.MOBGDWFJFBKYTEGP.SEARCH&ppt=hp&ppn=homepage&ssid=1a568rkdxc0000001671113915566&qH=53863d4d978d5074
3,OnePlus,Nord CE 2 Lite 5G,Blue Tide,6 GB RAM , 128 GB ROM,64MP Rear Camera,Not Mention,16.74 cm (6.59 inch),5000 mAh ,"₹19,900",https://www.flipkart.com/oneplus-nord-ce-2-lite-5g-blue-tide-128-gb/p/itm7acae55b999e6?pid=MOBGJMUHHJE55ARU&lid=LSTMOBGJMUHHJE55ARUXL8A7U&marketplace=FLIPKART&q=Oneplus+Nord&store=tyy%2F4io&srno=s_1_4&otracker=search&otracker1=search&fm=organic&iid=26fee77e-6000-497c-a990-4baa1f2758cb.MOBGJMUHHJE55ARU.SEARCH&ppt=hp&ppn=homepage&ssid=1a568rkdxc0000001671113915566&qH=53863d4d978d5074
4,OnePlus,Nord CE 2 Lite 5G,Black Dusk,6 GB RAM , 128 GB ROM,64MP Rear Camera,Not Mention,16.74 cm (6.59 inch),5000 mAh ,"₹19,799",https://www.flipkart.com/oneplus-nord-ce-2-lite-5g-black-dusk-128-gb/p/itm7acae55b999e6?pid=MOBGJMUHBTHF8HPM&lid=LSTMOBGJMUHBTHF8HPMJQHDOV&marketplace=FLIPKART&q=Oneplus+Nord&store=tyy%2F4io&srno=s_1_5&otracker=search&otracker1=search&fm=organic&iid=26fee77e-6000-497c-a990-4baa1f2758cb.MOBGJMUHBTHF8HPM.SEARCH&ppt=hp&ppn=homepage&ssid=1a568rkdxc0000001671113915566&qH=53863d4d978d5074
5,OnePlus,Nord CE 2 5G,Bahama Blue,8 GB RAM , 128 GB ROM,64MP Rear Camera,Not Mention,16.33 cm (6.43 inch),4500 mAh ,"₹24,998",https://www.flipkart.com/oneplus-nord-ce-2-5g-bahama-blue-128-gb/p/itm2a9883679c57c?pid=MOBGDBYGG6PPNFD9&lid=LSTMOBGDBYGG6PPNFD9C2SSDV&marketplace=FLIPKART&q=Oneplus+Nord&store=tyy%2F4io&srno=s_1_6&otracker=search&otracker1=search&fm=organic&iid=26fee77e-6000-497c-a990-4baa1f2758cb.MOBGDBYGG6PPNFD9.SEARCH&ppt=hp&ppn=homepage&ssid=1a568rkdxc0000001671113915566&qH=53863d4d978d5074
6,OnePlus,Nord CE 2 Lite 5G,Blue Tide,6 GB RAM , 128 GB ROM,64MP Rear Camera,Not Mention,16.74 cm (6.59 inch),5000 mAh ,"₹19,989",https://www.flipkart.com/oneplus-nord-ce-2-lite-5g-blue-tide-128-gb/p/itm853d95cf27843?pid=MOBGG6SGBYXGNYMH&lid=LSTMOBGG6SGBYXGNYMH8DHNRZ&marketplace=FLIPKART&q=Oneplus+Nord&store=tyy%2F4io&srno=s_1_7&otracker=search&otracker1=search&fm=organic&iid=26fee77e-6000-497c-a990-4baa1f2758cb.MOBGG6SGBYXGNYMH.SEARCH&ppt=hp&ppn=homepage&ssid=1a568rkdxc0000001671113915566&qH=53863d4d978d5074
7,OnePlus,Nord 2T 5G,Gray Shadow,12 GB RAM , 256 GB ROM,50MP Rear Camera,Not Mention,16.94 cm (6.67 inch),4500 mAh ,"₹33,869",https://www.flipkart.com/oneplus-nord-2t-5g-gray-shadow-256-gb/p/itm97eda8b1a1566?pid=MOBGGCHFNMZDKZTV&lid=LSTMOBGGCHFNMZDKZTVBJYMHD&marketplace=FLIPKART&q=Oneplus+Nord&store=tyy%2F4io&srno=s_1_8&otracker=search&otracker1=search&fm=organic&iid=26fee77e-6000-497c-a990-4baa1f2758cb.MOBGGCHFNMZDKZTV.SEARCH&ppt=hp&ppn=homepage&ssid=1a568rkdxc0000001671113915566&qH=53863d4d978d5074
8,OnePlus,Nord 2T 5G,Jade Fog,8 GB RAM , 128 GB ROM,50MP Rear Camera,Not Mention,17.02 cm (6.7 inch),4500 mAh ,"₹28,999",https://www.flipkart.com/oneplus-nord-2t-5g-jade-fog-128-gb/p/itm97eda8b1a1566?pid=MOBGHHYZVXCMYDSR&lid=LSTMOBGHHYZVXCMYDSRN0GOJY&marketplace=FLIPKART&q=Oneplus+Nord&store=tyy%2F4io&srno=s_1_9&otracker=search&otracker1=search&fm=organic&iid=26fee77e-6000-497c-a990-4baa1f2758cb.MOBGHHYZVXCMYDSR.SEARCH&ppt=hp&ppn=homepage&ssid=1a568rkdxc0000001671113915566&qH=53863d4d978d5074
9,OnePlus,Nord 2T 5G,Jade Fog,12 GB RAM , 256 GB ROM,50MP Rear Camera,Not Mention,17.02 cm (6.7 inch),4500 mAh ,"₹33,999",https://www.flipkart.com/oneplus-nord-2t-5g-jade-fog-256-gb/p/itm97eda8b1a1566?pid=MOBGGA29UT2G9QW3&lid=LSTMOBGGA29UT2G9QW3HVHOEB&marketplace=FLIPKART&q=Oneplus+Nord&store=tyy%2F4io&srno=s_1_10&otracker=search&otracker1=search&fm=organic&iid=26fee77e-6000-497c-a990-4baa1f2758cb.MOBGGA29UT2G9QW3.SEARCH&ppt=hp&ppn=homepage&ssid=1a568rkdxc0000001671113915566&qH=53863d4d978d5074
10,OnePlus,Nord 2T 5G,Gray Shadow,12 GB RAM , 256 GB ROM,50MP Rear Camera,Not Mention,17.02 cm (6.7 inch),4500 mAh ,"₹33,860",https://www.flipkart.com/oneplus-nord-2t-5g-gray-shadow-256-gb/p/itm97eda8b1a1566?pid=MOBGHHYEMNFZGE4W&lid=LSTMOBGHHYEMNFZGE4WYWVQKY&marketplace=FLIPKART&q=Oneplus+Nord&store=tyy%2F4io&srno=s_1_11&otracker=search&otracker1=search&fm=organic&iid=26fee77e-6000-497c-a990-4baa1f2758cb.MOBGHHYEMNFZGE4W.SEARCH&ppt=hp&ppn=homepage&ssid=1a568rkdxc0000001671113915566&qH=53863d4d978d5074
11,OnePlus,Nord 2T 5G,Jade Fog,8 GB RAM , 128 GB ROM,50MP Rear Camera,Not Mention,17.02 cm (6.7 inch),4500 mAh ,"₹28,970",https://www.flipkart.com/oneplus-nord-2t-5g-jade-fog-128-gb/p/itm97eda8b1a1566?pid=MOBGJMUHQV7XU4GH&lid=LSTMOBGJMUHQV7XU4GHFE1GB2&marketplace=FLIPKART&q=Oneplus+Nord&store=tyy%2F4io&srno=s_1_12&otracker=search&otracker1=search&fm=organic&iid=26fee77e-6000-497c-a990-4baa1f2758cb.MOBGJMUHQV7XU4GH.SEARCH&ppt=hp&ppn=homepage&ssid=1a568rkdxc0000001671113915566&qH=53863d4d978d5074
12,OnePlus,Nord,Gray Onyx,12 GB RAM , 256 GB ROM,48MP + 8MP , 32MP + 8MP Dual Front Camera,16.36 cm (6.44 inch),4115 mAh ,"₹29,999",https://www.flipkart.com/oneplus-nord-gray-onyx-256-gb/p/itm49f817b591982?pid=MOBFUE5GGWHFC37J&lid=LSTMOBFUE5GGWHFC37JNXZLYZ&marketplace=FLIPKART&q=Oneplus+Nord&store=tyy%2F4io&srno=s_1_13&otracker=search&otracker1=search&fm=organic&iid=26fee77e-6000-497c-a990-4baa1f2758cb.MOBFUE5GGWHFC37J.SEARCH&ppt=hp&ppn=homepage&ssid=1a568rkdxc0000001671113915566&qH=53863d4d978d5074
13,OnePlus,Nord,Gray Onyx,6 GB RAM , 64 GB ROM,48MP + 8MP , 32MP + 8MP Dual Front Camera,16.36 cm (6.44 inch),4115 mAh ,"₹24,999",https://www.flipkart.com/oneplus-nord-gray-onyx-64-gb/p/itm49f817b591982?pid=MOBFUE5H57THFNVJ&lid=LSTMOBFUE5H57THFNVJSYCAHJ&marketplace=FLIPKART&q=Oneplus+Nord&store=tyy%2F4io&srno=s_1_14&otracker=search&otracker1=search&fm=organic&iid=26fee77e-6000-497c-a990-4baa1f2758cb.MOBFUE5H57THFNVJ.SEARCH&ppt=hp&ppn=homepage&ssid=1a568rkdxc0000001671113915566&qH=53863d4d978d5074
14,OnePlus,Nord,Blue Marble,12 GB RAM , 256 GB ROM,48MP + 8MP , 32MP + 8MP Dual Front Camera,16.36 cm (6.44 inch),4115 mAh ,"₹29,999",https://www.flipkart.com/oneplus-nord-blue-marble-256-gb/p/itm49f817b591982?pid=MOBFUE5HUU5ZYGRY&lid=LSTMOBFUE5HUU5ZYGRY4ZWZZN&marketplace=FLIPKART&q=Oneplus+Nord&store=tyy%2F4io&srno=s_1_15&otracker=search&otracker1=search&fm=organic&iid=26fee77e-6000-497c-a990-4baa1f2758cb.MOBFUE5HUU5ZYGRY.SEARCH&ppt=hp&ppn=homepage&ssid=1a568rkdxc0000001671113915566&qH=53863d4d978d5074
15,OnePlus,Nord,Gray Onyx,8 GB RAM , 128 GB ROM,48MP + 8MP , 32MP + 8MP Dual Front Camera,16.36 cm (6.44 inch),4115 mAh ,"₹27,999",https://www.flipkart.com/oneplus-nord-gray-onyx-128-gb/p/itm49f817b591982?pid=MOBFUE5HW4XUUGBN&lid=LSTMOBFUE5HW4XUUGBNMZB8TR&marketplace=FLIPKART&q=Oneplus+Nord&store=tyy%2F4io&srno=s_1_16&otracker=search&otracker1=search&fm=organic&iid=26fee77e-6000-497c-a990-4baa1f2758cb.MOBFUE5HW4XUUGBN.SEARCH&ppt=hp&ppn=homepage&ssid=1a568rkdxc0000001671113915566&qH=53863d4d978d5074
16,OnePlus,Nord,Blue Marble,8 GB RAM , 128 GB ROM,48MP + 8MP , 32MP + 8MP Dual Front Camera,16.36 cm (6.44 inch),4115 mAh ,"₹27,999",https://www.flipkart.com/oneplus-nord-blue-marble-128-gb/p/itm49f817b591982?pid=MOBFUE5JWYDZX6HX&lid=LSTMOBFUE5JWYDZX6HXJZSHIV&marketplace=FLIPKART&q=Oneplus+Nord&store=tyy%2F4io&srno=s_1_17&otracker=search&otracker1=search&fm=organic&iid=26fee77e-6000-497c-a990-4baa1f2758cb.MOBFUE5JWYDZX6HX.SEARCH&ppt=hp&ppn=homepage&ssid=1a568rkdxc0000001671113915566&qH=53863d4d978d5074
17,OnePlus,Nord,Blue Marble,6 GB RAM , 64 GB ROM,48MP + 8MP , 32MP + 8MP Dual Front Camera,16.36 cm (6.44 inch),4115 mAh ,"₹24,999",https://www.flipkart.com/oneplus-nord-blue-marble-64-gb/p/itm49f817b591982?pid=MOBFUE5N7KAGZHHC&lid=LSTMOBFUE5N7KAGZHHC6NVUQL&marketplace=FLIPKART&q=Oneplus+Nord&store=tyy%2F4io&srno=s_1_18&otracker=search&otracker1=search&fm=organic&iid=26fee77e-6000-497c-a990-4baa1f2758cb.MOBFUE5N7KAGZHHC.SEARCH&ppt=hp&ppn=homepage&ssid=1a568rkdxc0000001671113915566&qH=53863d4d978d5074
18,OnePlus,Nord CE 2 5G,Gray Mirror,8 GB RAM , 128 GB ROM,50MP Rear Camera,Not Mention,16.33 cm (6.43 inch),4500 mAh ,"₹24,999",https://www.flipkart.com/oneplus-nord-ce-2-5g-gray-mirror-128-gb/p/itm4644f5bbeb9bb?pid=MOBGKN6FDR7TNMHS&lid=LSTMOBGKN6FDR7TNMHSL5NRW1&marketplace=FLIPKART&q=Oneplus+Nord&store=tyy%2F4io&srno=s_1_19&otracker=search&otracker1=search&fm=organic&iid=26fee77e-6000-497c-a990-4baa1f2758cb.MOBGKN6FDR7TNMHS.SEARCH&ppt=hp&ppn=homepage&ssid=1a568rkdxc0000001671113915566&qH=53863d4d978d5074
19,OnePlus,Nord 2T 5G,Gray Shadow,12 GB RAM , 256 GB ROM,50MP Rear Camera,Not Mention,16.94 cm (6.67 inch),4500 mAh ,"₹33,990",https://www.flipkart.com/oneplus-nord-2t-5g-gray-shadow-256-gb/p/itm97eda8b1a1566?pid=MOBGJMUH8GJZPY97&lid=LSTMOBGJMUH8GJZPY97DLUW9A&marketplace=FLIPKART&q=Oneplus+Nord&store=tyy%2F4io&srno=s_1_20&otracker=search&otracker1=search&fm=organic&iid=26fee77e-6000-497c-a990-4baa1f2758cb.MOBGJMUH8GJZPY97.SEARCH&ppt=hp&ppn=homepage&ssid=1a568rkdxc0000001671113915566&qH=53863d4d978d5074
20,OnePlus,Nord CE 5G,Blue Void,8 GB RAM , 128 GB ROM,64MP Rear Camera,Not Mention,16.33 cm (6.43 inch),4500 mAh ,"₹24,899",https://www.flipkart.com/oneplus-nord-ce-5g-blue-void-128-gb/p/itmd6dcbd8116ed1?pid=MOBGDM4UUD2FDBPH&lid=LSTMOBGDM4UUD2FDBPHYWFKEP&marketplace=FLIPKART&q=Oneplus+Nord&store=tyy%2F4io&srno=s_1_21&otracker=search&otracker1=search&fm=organic&iid=26fee77e-6000-497c-a990-4baa1f2758cb.MOBGDM4UUD2FDBPH.SEARCH&ppt=hp&ppn=homepage&ssid=1a568rkdxc0000001671113915566&qH=53863d4d978d5074
21,OnePlus,Nord CE 5G,Blue Void,12 GB RAM , 256 GB ROM,64MP Rear Camera,Not Mention,16.33 cm (6.43 inch),4500 mAh ,"₹27,999",https://www.flipkart.com/oneplus-nord-ce-5g-blue-void-256-gb/p/itmd6dcbd8116ed1?pid=MOBGDTZ8HJVDQZSN&lid=LSTMOBGDTZ8HJVDQZSNE7TRY2&marketplace=FLIPKART&q=Oneplus+Nord&store=tyy%2F4io&srno=s_1_22&otracker=search&otracker1=search&fm=organic&iid=26fee77e-6000-497c-a990-4baa1f2758cb.MOBGDTZ8HJVDQZSN.SEARCH&ppt=hp&ppn=homepage&ssid=1a568rkdxc0000001671113915566&qH=53863d4d978d5074
22,OnePlus,Nord 2T 5G,Jade Fog,8 GB RAM , 128 GB ROM,50MP Rear Camera,Not Mention,17.02 cm (6.7 inch),4500 mAh ,"₹28,933",https://www.flipkart.com/oneplus-nord-2t-5g-jade-fog-128-gb/p/itm97eda8b1a1566?pid=MOBGFX6MGJWZMRWR&lid=LSTMOBGFX6MGJWZMRWRDEQCR1&marketplace=FLIPKART&q=Oneplus+Nord&store=tyy%2F4io&srno=s_1_23&otracker=search&otracker1=search&fm=organic&iid=26fee77e-6000-497c-a990-4baa1f2758cb.MOBGFX6MGJWZMRWR.SEARCH&ppt=hp&ppn=homepage&ssid=1a568rkdxc0000001671113915566&qH=53863d4d978d5074
23,OnePlus,Nord 2T 5G,Jade Fog,8 GB RAM , 128 GB ROM,50MP Rear Camera,Not Mention,17.02 cm (6.7 inch),4500 mAh ,"₹28,990",https://www.flipkart.com/oneplus-nord-2t-5g-jade-fog-128-gb/p/itm97eda8b1a1566?pid=MOBGGA29ZTGXG92P&lid=LSTMOBGGA29ZTGXG92PKTBOQZ&marketplace=FLIPKART&q=Oneplus+Nord&store=tyy%2F4io&srno=s_1_24&otracker=search&otracker1=search&fm=organic&iid=26fee77e-6000-497c-a990-4baa1f2758cb.MOBGGA29ZTGXG92P.SEARCH&ppt=hp&ppn=homepage&ssid=1a568rkdxc0000001671113915566&qH=53863d4d978d5074
